Timestamp,Reason,Call Sign,License Level,Custom Color?,NOTES,Completed
11/29/2023 20:45:51,Upgrade (ARC INTERNAL),KF0NXH,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE